The Challenger	522	Миф — мыть голову каждый день вредно?	https://the-challenger.ru/zdorove/uhod-za-soboj/mif-myt-golovu-kazhdyj-den-vredno/
The Challenger	522	Кусание губ — вредная привычка. Об основных причинах ее появления и способах борьбы	https://the-challenger.ru/zdorove/pochemu-tak/pochemu-vy-kusaete-guby-i-kak-izbavitsya-ot-etoj-opasnoj-privychki/
The Challenger	522	Об отёках лица, причинах их возникновения и способах борьбы	https://the-challenger.ru/zdorove/pochemu-tak/pochemu-otekaet-liczo-i-kak-izbavitsya-ot-otyochnosti/
The Challenger	522	Почему появляются пигментные пятна и как от них избавиться	https://the-challenger.ru/zdorove/pochemu-tak/pochemu-poyavlyayutsya-pigmentnye-pyatna-i-kak-s-nimi-borotsya/
The Challenger	522	Как правильно ухаживать за кожей рук зимой, чтобы она перестала шелушиться и трескаться?	https://the-challenger.ru/zdorove/uhod-za-soboj/kak-pravilno-uhazhivat-za-suhoj-kozhej-ruk-zimoj-sovety-i-sredstva/
Marie Claire	404	11 важных сигналов, которые укажут на проблемы с печенью	https://www.marieclaire.ru/krasota/ne-propustite-11-vazhnykh-signalov-kotorye-ukazhut-na-problemy-s-pechenyu/
Life	404	Три главные причины старения	https://life-ru.turbopages.org/life.ru/s/p/1548166
НТВ	404	Особенности старения.	https://www.ntv.ru/peredacha/Eda_jivaya_i_mertvaya/m52780/o535999/video/
НТВ	404	Влияние кофе на внешность и миф о том, что кофе провоцирует целлюлит.	https://www.ntv.ru/peredacha/Eda_jivaya_i_mertvaya/m52780/o572317/video/
Wonderzine	502	Виды пигментации и способы борьбы с ней.	https://www.wonderzine.com/wonderzine/beauty/otherbeauty/256249-pigmentatsiya-i-voprosy-o-ney
The Challenger	522	Почему кожа обезвожена и как это исправить	https://the-challenger.ru/zdorove/uhod-za-soboj/pochemu-u-vas-obezvozhennaya-kozha-i-kak-eto-ispravit/
Marie Claire	404	Как курение влияет на кожу лица и можно ли это исправить?	https://www.marieclaire.ru/krasota/kak-kurenie-vliyaet-na-kozhu-lica-i-mozhno-li-eto-ispravit/
Reya	сеть	LED-маски	https://reya.media/led-maski-dlya-licza-gadzhety-budushhego-ili-dorogaya-igrushka/
Marus	сеть	Тренды косметической медицины	https://ru.marus.care/articles/cosmetic_medicine_trends
