Buro 24/7	статья	2018	Как избавиться от филлеров	обложка	страница	«Во время инъекции ферментного препарата возникает пощипывание. Скорость расщепления, в зависимости от введенного объема, составляет от 30 минут до 5–7 дней, она зависит от точности введения и распределения ферментного препарата, в каждом случае реакция…	https://www.buro247.ru/beauty/health/17-jul-2018-how-to-get-rid-of-fillers.html
Harper’s Bazaar	статья		Дело молодое: что сделать для своей красоты сегодня, чтобы хорошо выглядеть через 20 лет	обложка	страница		https://bazaar.ru/beauty/reviews/delo-molodoe-chto-sdelat-dlya-svoey-krasoty-segodnya-chtoby-horosho-vyglyadet-cherez-20-let/
Salt	статья		Сохранить лицо: что такое гравитационный птоз и как его остановить	обложка	страница		https://saltmag.ru/beauty/face/98-sohranit-litso-chto-takoe-gravitatsionnyj-ptoz-i-kak-ego-ostanovit
Buro 24/7	статья	2019	Что такое инфламэйджинг кожи и как он возникает	обложка	страница	Инфламэйджинг затрагивает весь организм: от кожи до иммунной системы и ЖКТ. «Главное отличие от острого воспаления: долгое время может протекать бессимптомно. Первые видимые признаки — сухая тонкая кожа и её пигментация, большое количество тонких морщин.	https://m.buro247.ru/beauty/health/27-mar-2019-inflammaging-skin.html
Salt	статья		Клетки красоты: кто такие фибробласты и почему от них зависит наша молодость	обложка	страница		https://saltmag.ru/beauty/face/83-kletki-krasoty-kto-takie-fibroblasty-i-pochemu-ot-nih-zavisit-nasha-molodost/
Salt	статья		Косметика с гиалуроновой кислотой: панацея или маркетинговый ход	обложка	страница		https://saltmag.ru/beauty/face/71-kosmetika-s-gialuronovoj-kislotoj-panatseja-ili-marketingovyj-hod/
U Magazine	статья		Типы старения: какие бывают и что можно, а что нельзя делать при каждом из них?		документ		https://umagazine.ru/krasota/practice/kakie-tipy-stareniya-kozhi-byvayut-i-kak-s-nimi-borotsya-na-primere-zvezd/
U Magazine	статья		Клеточные технологии в косметологии — 2 эффективные методики омоложения.		документ		https://umagazine.ru/krasota/practice/kak-v-50-vyglyadet-na-20-dve-samye-effektivnye-protsedury-po-mneniyu-kosmetologa/
Cosmopolitan	статья		Враг или нет: как влияет солнце на организм и стоит ли его бояться	обложка	страница		https://www.cosmo.ru/beauty/face/vrag-ili-net-kak-vliyaet-solnce-na-organizm-i-stoit-li-ego-boyatsya/
U Magazine	статья		Пептиды, гиалуроновая кислота и другие модные компоненты косметических средств — панацея или нет?		документ		https://umagazine.ru/krasota/health/peptidy-gialuronka-kisloty-chto-takoe-antieydzhing-ili-chto-dolzhno-byt-v-vashem-kreme-chtoby-ne-sta/
Аргументы и факты	статья	2019	Нужна ли волосам шапка?	обложка	страница		https://aif.ru/health/secrets/nuzhna_li_volosam_shapka
Cosmopolitan	статья		Холодный прием: 5 косметологических процедур, которые стоит сделать зимой	обложка	страница		https://www.cosmo.ru/beauty/face/holodnyy-priem-5-kosmetologicheskih-procedur-kotorye-stoit-sdelat-zimoy/
The Blueprint	статья		Сколько воды в день нужно пить? Что будет, если пить по 2 литра? Можно заменить воду чаем?	обложка	страница	Например, в самолете, где организм испытывает дополнительную нагрузку. «За счет изменения давления происходит перераспределение жидкости из сосудов в ткани, но эта жидкость не эффективна в плане увлажнения, поскольку создает межклеточный отек, — говорит…	https://theblueprint.ru/beauty/voda-faq
The Challenger	статья		НЕ ОТКРЫЛАСЬ				https://the-challenger.ru/zdorove/uhod-za-soboj/mif-myt-golovu-kazhdyj-den-vredno/
Аргументы и факты	статья	2020	Чем пахнет старость?	обложка	страница		https://aif.ru/health/life/chem_pahnet_starost
U Magazine	статья		Можно ли стать моложе, лежа на диване: 4 основных способа.		документ		https://umagazine.ru/krasota/reviews/antieydzh-dlya-lenivykh-mozhno-li-vernut-molodost-lezha-na-divane-mnenie-eksperta-1/
U Magazine	статья		Чем опасны автозагары и как они связаны с гликацией, приводящей к ускоренному старению.		документ		https://umagazine.ru/krasota/health/vzyali-bronzu-bezopasny-li-avtozagary-dlya-kozhi/
The Challenger	статья		НЕ ОТКРЫЛАСЬ				https://the-challenger.ru/zdorove/pochemu-tak/pochemu-vy-kusaete-guby-i-kak-izbavitsya-ot-etoj-opasnoj-privychki/
The Challenger	статья		НЕ ОТКРЫЛАСЬ				https://the-challenger.ru/zdorove/pochemu-tak/pochemu-otekaet-liczo-i-kak-izbavitsya-ot-otyochnosti/
So Many Horses	статья		Усталый вид лица: как с этим бороться		страница		https://somanyhorses.ru/kak-vyglyadet-svezho-sekrety-ot-kosmetologa/
The Challenger	статья		НЕ ОТКРЫЛАСЬ				https://the-challenger.ru/zdorove/pochemu-tak/pochemu-poyavlyayutsya-pigmentnye-pyatna-i-kak-s-nimi-borotsya/
U Magazine	статья		Какие анализы вам стоит сдать, чтобы привести кожу в полный порядок.		документ		https://umagazine.ru/krasota/health/kakie-analizy-stoit-sdat-pri-problemakh-s-kozhey-otvechayut-vrachi/
